"country","set","method","var_total","var_psi","cov_psi_alpha","workers","moves","stayers","firms","var_share","cov_share","corr_bound","year_range"
"Italy","connected","FE",0.176220994180496,0.0425536469584274,-0.00739806583626336,863955,147683,733486,54299,24.1478872346171,-8.39635012918589,-0.0930764867760495,3
"Italy","connected","FE-HO",0.176220994180496,0.0277054122298388,0.00680675665937035,863955,147683,733486,54299,15.7219702219256,7.7252505480686,0.111339332174265,3
"Italy","connected","CRE",0.176220994180496,0.0193832075156277,0.0155522175063759,856817,139738,733486,51033,10.9993747372542,17.6508112199689,0.315031696897095,3
"Italy","leaveout","FE-HE",0.180601450477205,0.0196491328084356,0.0145448127145953,754840,120722,648391,30116,10.879831117921,16.1070829455283,0.285742914552824,3
"Austria","connected","FE",0.183027581484352,0.0360737230167535,-0.00485774206030794,2844534,386841,2503780,116960,19.7094463709764,-5.30820767111896,-0.0646170246899581,3
"Austria","connected","FE-HO",0.183027581484352,0.022227684447086,0.0084809656761309,2844534,386841,2503780,116960,12.1444452616484,9.26741817528302,0.149989697106493,3
"Austria","connected","CRE",0.183027581484352,0.0185640563120508,0.0160263748277726,2830382,371239,2503780,108429,10.1427643645272,17.5125242849179,0.323249002005758,3
"Austria","leaveout","FE-HE",0.17809005764102,0.024825333133192,0.00287846420647437,2604068,336113,2309057,68309,13.9397636577966,3.23259394106834,0.047567004593655,3
"Sweden","connected","FE",0.160750664978473,0.0379264502186557,-0.0229283541748337,1496834,236764,1285055,42364,23.593339550872,-28.5266056944824,-0.286661123766145,3
"Sweden","connected","FE-HO",0.160750664978473,0.0187058993321176,-0.00432887408428789,1496834,236764,1285055,42364,11.6365921936451,-5.38582417045378,-0.0815314955486935,3
"Sweden","connected","CRE",0.160750664978473,0.00739171627253692,0.00719783165109972,1492439,231998,1285055,42013,4.59824926604614,8.95527449552215,0.224584098942612,3
"Sweden","leaveout","FE-HE",0.161373012885385,0.0119345960631593,0.00119338716106974,1377003,221425,1178899,28636,7.39565795405698,1.47904180473764,0.0284867273619771,3
"Norway","connected","FE",0.229241081002796,0.0867537553191153,-0.0473520278932054,986365,203360,804950,63397,37.8438955791074,-41.3119914511551,-0.330099593028625,3
"Norway","connected","FE-HO",0.229241081002796,0.0342126076370433,0.00288528078325925,986365,203360,804950,63397,14.924291705214,2.51724583625049,0.0358565064108648,3
"Norway","connected","CRE",0.229241081002796,0.0262231286534184,0.0140158937331992,977092,193173,804950,59539,11.439105302901,12.2280820452319,0.206907716042831,3
"Norway","leaveout","FE-HE",0.226984170469757,0.0231536357272405,0.0114362634275482,856236,175243,699842,36591,10.2005508486881,10.0767057049662,0.176679291513857,3
"US","connected","FE",0.435719369895301,0.071135712318671,-0.0260354671484942,36825979,4252044,33125279,1240942,16.3260385545321,-11.9505667855667,-0.151228430857956,3
"US","connected","FE-HO",0.435719369895301,0.0177739801439866,0.0255285255534799,36825979,4252044,33125279,1240942,4.07922653249442,11.7178749981274,0.316130525062773,3
"US","connected","CRE",0.435719369895301,0.0228710637566946,0.0272016673595521,36733111,4152982,33125279,1192657,5.24903535093936,12.4858655542848,0.300428477667559,3
"US","leaveout","FE-HE",0.440415381682145,0.0196892199929668,0.0233305358514836,33030503,3644707,29862858,669539,4.47060225684326,10.5947870223668,0.271854714171217,3
"Italy","connected","FE",0.16657564507251,0.0384141537825972,-0.00106698075514754,1111419,379251,854921,92492,23.0610866107561,-1.28107653995047,-0.0150815619083922,6
"Italy","connected","FE-HO",0.16657564507251,0.0292031684966001,0.0072626533468218,1111419,379251,854921,92492,17.5314755550777,8.71994623663067,0.121254467959033,6
"Italy","connected","CRE",0.16657564507251,0.0212466229300856,0.0166498579820536,1100553,363956,854921,85059,12.7549396076701,19.9907471164899,0.341271290800413,6
"Italy","leaveout","FE-HE",0.168215066232678,0.0263578625587027,0.00943897159275083,1034056,345601,799766,61326,15.6691449517632,11.222504385778,0.165788211299028,6
"Austria","connected","FE",0.186586190200487,0.0348222713954323,0.00438858241969554,3396160,1122925,2644756,205955,18.662834241921,4.70408063424201,0.0621939023610192,6
"Austria","connected","FE-HO",0.186586190200487,0.0285699298673544,0.00983601435760708,3396160,1122925,2644756,205955,15.3119209072525,10.5431322082714,0.156453051831544,6
"Austria","connected","CRE",0.186586190200487,0.0218879168604566,0.0182701053071315,3371436,1087049,2644756,184402,11.7307271438138,19.5835557685167,0.34495771979652,6
"Austria","leaveout","FE-HE",0.181818848007658,0.0235369264783234,0.0118277927096717,3240040,1054662,2536228,139868,12.9452621310922,13.0105243095298,0.210118269793472,6
"Norway","connected","FE",0.238602239609636,0.0582316130402837,-0.0092389528878938,1286192,556333,912502,113966,24.4053086574348,-7.74422981360874,-0.0858582727556589,6
"Norway","connected","FE-HO",0.238602239609636,0.0330593912918911,0.0134800096595938,1286192,556333,912502,113966,13.8554404795101,11.2991476372122,0.175437701074916,6
"Norway","connected","CRE",0.238602239609636,0.0280306264517105,0.0200842192157855,1268485,530502,912502,101122,11.7478471692344,16.8348958070504,0.290602743612479,6
"Norway","leaveout","FE-HE",0.23588559490477,0.029129057780087,0.0150764866271005,1198803,519347,849220,78210,12.3488073919252,12.7828803053337,0.210202170729522,6
"Sweden","connected","FE",0.163642066983455,0.0238228812056643,-0.00666116905185995,1921473,608205,1504031,63184,14.5579200048071,-8.14114509141886,-0.110282557974541,6
"Sweden","connected","FE-HO",0.163642066983455,0.0133523073466259,0.00315832657042144,1921473,608205,1504031,63184,8.15945899044154,3.86004238230597,0.0720341085506373,6
"Sweden","connected","CRE",0.163642066983455,0.00812843969486287,0.00844296545784304,1916665,601507,1504031,62084,4.96720668755956,10.3188203540556,0.251516461942233,6
"Sweden","leaveout","FE-HE",0.163650377625444,0.0116700079439282,0.0040521242130689,1849704,596308,1439876,52307,7.1310608097942,4.95217215122257,0.0988900993578118,6
"US","connected","FE",0.413624555711093,0.0506505649483706,0.00223956366361268,55463853,14887841,45519114,2567727,12.2455410949414,1.08289686030003,0.0166199532167045,6
"US","connected","FE-HO",0.413624555711093,0.0227912546385065,0.0279588520238584,55463853,14887841,45519114,2567727,5.51013094455292,13.518951734281,0.320012934505345,6
"US","connected","CRE",0.413624555711093,0.0257988253482351,0.0311052022982481,55231853,14588439,45519114,2388224,6.23725670829247,15.0403073844457,0.339375623744906,6
"US","leaveout","FE-HE",0.415613358337053,0.0240869633689155,0.025956297333348,52484436,13968441,43124315,1689251,5.79552194022154,12.4905982027161,0.286984902011728,6
